Age,18,19,20,21,22,23,24,25,26,27,28,29,30
0,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
1,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
2,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
3,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
4,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
5,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
6,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
7,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
8,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
9,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
10,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
11,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
12,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
13,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
14,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
15,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
16,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
17,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
18,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
19,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
20,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
21,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
22,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
23,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
24,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
25,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
26,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
27,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
28,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
29,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
30,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
31,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
32,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
33,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
34,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
35,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
36,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
37,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
38,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
39,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
40,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
41,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
42,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
43,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
44,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
45,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
46,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
47,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
48,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
49,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
50,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
51,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
52,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
53,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
54,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
55,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
56,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
57,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
58,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
59,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
60,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
61,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
62,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
63,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
64,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
65,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
66,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
67,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
68,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
69,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
70,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
71,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
72,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
73,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
74,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
75,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
76,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
77,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
78,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
79,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
80,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
81,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
82,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
83,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
84,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
85,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
86,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
87,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
88,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
89,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
90,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
91,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
92,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
93,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
94,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
95,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
96,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
97,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
98,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
99,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
100,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
101,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
102,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
103,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
104,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
105,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
106,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
107,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
108,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
109,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
110,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
